Video ID,Title,SOALAS Count,LAS Count,Applewood Count,Transcript?
KflDSgz4KIc,Jumbo Tomahawk for David Beckham,0,0,0,Yes
3tSvjeJZjGI,I Ranked the Best BBQ from EVERY Country,0,0,0,Yes
Q3QiyVSaPZE,I Challenged America’s Best Brisket,1,1,1,Yes
l1rAb8iNPcQ,Grinding Every Animal Into One Burger @NickDiGiovanni,0,0,0,Yes
pKuguDpmti4,I Cooked the World’s RAREST Steaks,0,0,1,Yes
gDfyZaujK6E,I Found Bacon in This Fish…,0,0,0,Yes
OU4S0FSZkoI,I Covered Lamb in Jam,1,1,1,Yes
P9NbFXKQo-8,Cowboy Butter Lobster Roll,0,0,0,Yes
Aw5vc8jGQCY,"$50 vs $300 vs $1,000 Brisket",0,0,0,Yes
sMtfXxOt-3o,Citrus Dry Aged Mahi Mahi,0,0,0,Yes
vzXULTmvWnk,I Cooked the World’s CRAZIEST Eggs,0,0,0,Yes
4UEzMoGvkXQ,"1,000 Garlic Clove Lamb Leg",0,1,0,Yes
vGx5zex1YCY,7 Day Caramel Soaked Ribs,1,1,1,Yes
lp_Q393jAfw,I Cooked 100lbs of Protein Pt 3,0,0,0,Yes
AByKJ0-wpEs,I Cooked A 70lb Cow Leg,0,0,1,Yes
ig1rlhB5h1Q,I stole a whole cow leg pt 1…,0,0,0,Yes
w4jDx6Wenjw,World’s WORST Tasting Tuna,0,0,0,Yes
QDBn3_WwbQo,If you find yourself with 20 lobsters…,0,0,0,Yes
d4Z4HnDTnSA,The Lobster Hot Dog,0,0,0,Yes
kGS_WfpU82Q,When steak put me in the hospital…,0,0,0,Yes
39-CvROyYUQ,7 Day Molasses Cured Tomahawk,1,1,1,Yes
UwfDi4tT5Og,Jalapeño Dry Aged Wagyu A5,0,0,0,Yes
jPTERm5G4vM,Deep Fried Prime Rib,1,1,1,Yes
OuM4JtRrIEI,Prime Rib Texas Toast Sandwich,0,1,0,Yes
5QuFBdoHReA,The Perfect Prime Rib,0,0,0,Yes
7ED6rGme02E,The Brisket Football (Cooked in Clay),1,1,1,Yes
zAu4PRyKbu0,Panda Express Ran Out of Chicken…,0,0,0,Yes
21ohKsJQA1g,I Tasted The World’s Most EXOTIC Meats,0,0,0,Yes
-LCnCFHbbd8,How to slice every type of steak…,0,0,0,Yes
Jgw-HUH55ys,Pork Chop Accordion,0,0,0,Yes
68GyW48XoEU,Dry Aged Camel,0,0,0,Yes
